rank,molecule,pubchem_cid,wikipedia_views_monthly,bucket,family,is_otc,dual_use,added,handling
433,Betanin,441603,1279,food-flavor,glycoside,,,yes,
434,Androstenone,6852393,1233,scent-aroma,steroid-hormone,,,,
435,Oleuropein,5281544,1136,plant-compound,phenolic,,,yes,
436,Sotolon,62835,1096,scent-aroma,other,,,yes,
437,Raspberry ketone,21648,1061,scent-aroma,ketone,,,yes,
438,"P-Menthane-3,8-diol",556998,984,plant-compound,terpenoid,,,,
439,Cyanidin,128861,961,plant-compound,flavonoid,,,yes,
440,Shogaol,5281794,952,plant-compound,phenolic,,,yes,
441,Lugduname,57459281,946,sweetener,sweetener,,,,
442,Naringin,442428,927,plant-compound,flavonoid,,,yes,
443,beta-Ionone,638014,863,scent-aroma,ketone,,,yes,
444,Rebaudioside A,6918840,861,sweetener,glycoside,,,yes,
445,Furaneol,19309,775,scent-aroma,ketone,,,yes,
446,Stevioside,442089,685,sweetener,glycoside,,,yes,
447,Ethyl maltol,21059,650,food-flavor,other,,,yes,
448,Maltol,8369,645,food-flavor,other,,,yes,
449,Daidzein,5281708,590,plant-compound,flavonoid,,,yes,
450,Β-Santalol,6857681,494,scent-aroma,terpenoid,,,,
451,Phylloquinone,5284607,445,nutrient-vitamin,vitamin,,,yes,
452,alpha-Pinene,6654,292,scent-aroma,terpene,,,yes,
453,Dexpanthenol,131204,177,nutrient-vitamin,vitamin,,,,
454,Propionate,104745,153,body-endogenous,organic-acid,,,,
455,Iso E Super,108242,97,scent-aroma,terpenoid,,,,
456,11-cis retinal,5280490,45,body-endogenous,vitamin,,,,
457,Allomatrine,7000681,40,plant-compound,alkaloid,,,,
458,MK-7,5287554,15,nutrient-vitamin,vitamin,,,,
459,Calcium beta-hydroxy-beta-methylbutyrate,9860341,6,nutrient-vitamin,organic-acid,,,,
460,Yohimbic acid,72131,2,plant-compound,alkaloid,,,,
461,Benfotiamine,3032771,0,nutrient-vitamin,vitamin,,,,
462,Nuciferine,10146,0,plant-compound,alkaloid,,,,
463,Kojic acid,3840,0,food-flavor,other,,,,
464,Furfural,7362,0,food-flavor,aldehyde,,,,
465,Brompheniramine,6834,0,otc-medicine,otc,yes,,,
466,Collagen,,0,body-endogenous,protein,,,yes,hand-model
467,Keratin,,0,body-endogenous,protein,,,yes,hand-model
468,Hemoglobin,,0,body-endogenous,protein,,,yes,hand-model
469,Melanin,,0,body-endogenous,pigment-polymer,,,yes,hand-model
470,Starch,,0,food-flavor,polysaccharide,,,yes,hand-model
471,Cellulose,,0,plant-compound,polysaccharide,,,yes,hand-model
472,Gelatin,,0,food-flavor,protein,,,yes,hand-model
473,Endorphin,,0,body-endogenous,peptide,,,yes,hand-model
474,Sodium fluoride,5235,0,everyday-chemistry,inorganic,,,yes,add-core
475,Iodine,24841,0,everyday-chemistry,inorganic,yes,,yes,add-core
476,Triclosan,5564,0,everyday-chemistry,phenolic,,,yes,add-core
477,Glycolic acid,757,0,everyday-chemistry,organic-acid,,,yes,add-core
478,Sodium lauryl sulfate,3423265,0,everyday-chemistry,surfactant,,,yes,add-core
479,Chlorhexidine,9552079,0,everyday-chemistry,biguanide,yes,,yes,add-core
480,Pectin,,0,food-flavor,polysaccharide,,,yes,hand-model
481,Lecithin,,0,food-flavor,phospholipid-mixture,,,yes,hand-model
482,Carrageenan,,0,food-flavor,polysaccharide,,,yes,hand-model
483,Xanthan gum,,0,food-flavor,polysaccharide,,,yes,hand-model
484,Guar gum,,0,food-flavor,polysaccharide,,,yes,hand-model
485,Agar,,0,food-flavor,polysaccharide,,,yes,hand-model
486,Gluten,,0,food-flavor,protein-mixture,,,yes,hand-model
487,Casein,,0,food-flavor,protein,,,yes,hand-model
488,Albumin,,0,body-endogenous,protein,,,yes,hand-model
489,Fibrin,,0,body-endogenous,protein,,,yes,hand-model
490,Dihydrocapsaicin,107982,800,plant-compound,phenolic,,yes,capsaicinoid,
491,Nonivamide,2998,600,plant-compound,phenolic,,yes,capsaicinoid,
493,Nordihydrocapsaicin,168836,300,plant-compound,phenolic,,yes,capsaicinoid,
494,Homocapsaicin,6442566,150,plant-compound,phenolic,,yes,capsaicinoid,
495,Homodihydrocapsaicin,3084336,150,plant-compound,phenolic,,yes,capsaicinoid,
496,Zingerone,31211,1200,plant-compound,phenolic,,yes,capsaicinoid,
497,Ethanethiol,6343,400,scent-aroma,sulfur,,yes,pungent,
498,Hydrogen sulfide,402,3000,scent-aroma,sulfur,,yes,pungent,
499,Dimethyl disulfide,12232,300,scent-aroma,sulfur,,yes,pungent,
